Institution_OrgUEINum_C,Sum,Count,Institution_Name_C
F2VSMAKDH8Z7,93615660.0,299,University of Memphis
U3ZFA57417D4,101135438.0,299,Western Washington University
LXHMMWRKN5N8,89395258.0,293,Ohio University
ZQ12LY4L5H39,137520483.0,292,Carnegie Institution of Washington
XA77NAJYELF1,95351119.0,290,University of Toledo
DYZNJGLTHMR9,133149617.0,289,Howard University
KXNVA7JCC5K6,87226086.0,286,Kent State University
Massachusetts Institute of Technology,93341921.0,285,Massachusetts Institute of Technology
MNJDKB4FXLM6,95447203.0,281,American Museum Natural History
HB6KNGVNJRU1,133928053.0,275,University of Alabama in Huntsville
Y28BEBJ4MNU7,69492591.0,271,Southern Illinois University at Carbondale
F4SLJ5WF59F6,103171128.0,270,San Francisco State University
MXLZGAMFEKN5,119630965.0,268,Brandeis University
SL2PF6R7MRN1,66036076.0,266,Clarkson University
E1KJM4T54MK6,97646587.0,263,University of Louisville Research Foundation Inc
Q266L2NDAVP1,84112289.0,260,Florida Atlantic University
J7WULLYGFRH1,83062813.0,251,Western Michigan University
T6J6AF3AM8M8,72608030.0,247,Miami University
M1K8LJAET5R1,89987665.0,247,University of Southern Mississippi
M2EEE68GGCY9,69143858.0,247,Northern Illinois University
PMMKPCKNN9R2,72814221.0,244,"University of Massachusetts, Dartmouth"
CGCDJ24JJLZ1,105299526.0,240,University of Massachusetts Boston
MC4RJJM9XLT5,67274632.0,234,California Polytechnic State University Foundation
T3NGNR66YK89,88872055.0,226,Rutgers University Newark
HS5HWWK1AAU5,80482927.0,225,Texas State University - San Marcos
G1THVER8BNL4,77441345.0,219,University of Mississippi
HZJ2JZUALWN4,65312363.0,217,New Mexico Institute of Mining and Technology
WCUGNQQ8DZU1,67823714.0,211,University of Denver
LAGNHMC58DF3,81813460.0,210,"The University Corporation, Northridge"
Colorado State University,52984369.0,209,Colorado State University
JHTYTGKYWLL9,98098122.0,202,University of Maryland Center for Environmental Sciences
LPCTM8BS8NF3,61914605.0,200,University of Minnesota Duluth
DMDEQP66JL85,52464793.0,200,Rowan University
EYNYSU6L8ZX6,59877410.0,196,Villanova University
HKJCKTFJNBM7,66829784.0,192,Marquette University
M2XKLRTA9G44,124638229.0,188,Marine Biological Laboratory
VQ5WK498QDC6,66767849.0,185,CSU Fullerton Auxiliary Services Corporation
MVTKSCN6NMH3,45875430.0,185,James Madison University
GV31TMFLPY88,110327110.0,184,Cold Spring Harbor Laboratory
M6CXZ6GSJW84,61616113.0,182,University of Colorado at Denver-Downtown Campus
HWPEKM8VFTJ9,70658030.0,181,East Carolina University
WWH4L4GKKW58,232494895.0,181,Education Development Center
EJABWGUJM228,49658187.0,181,CUNY Queens College
C13DF16LC3H4,54672131.0,179,University of North Carolina Greensboro
EK93EZLLBSC4,78972998.0,179,CUNY Hunter College
C169K7T4QZ96,69597323.0,178,University of Louisiana at Lafayette
XGE9T6KCMSR4,63355498.0,178,College of William & Mary Virginia Institute of Marine Science
GSLCJ3M62XX1,164794480.0,175,TERC Inc
JNBLLTBTLLD8,48989693.0,174,Saint Louis University
L3ATVUT2KNK7,84737284.0,173,The University of Texas Rio Grande Valley
University of Tennessee Knoxville,37394625.0,170,University of Tennessee Knoxville
DRTAEZWWJHM8,88053881.0,169,Bigelow Laboratory for Ocean Sciences
University of California-Santa Barbara,42200153.0,169,University of California-Santa Barbara
GZRNJ1GZDBM1,95479811.0,169,University of Puerto Rico Mayaguez
WFVHMSF6BU45,113274433.0,169,Jackson State University
WNN6VH618X58,39757327.0,169,Florida Institute of Technology
DNZNC466DGR7,119947521.0,165,South Dakota State University
QVW9TFAZJFE7,35356846.0,165,CUNY Graduate School University Center
NPT2UNTNHJZ1,44860528.0,164,Wright State University
HJTLACN81NK1,48816694.0,164,Oakland University
University of Pennsylvania,90149629.0,162,University of Pennsylvania
CJAJYT2KW771,74726418.0,161,South Dakota School of Mines and Technology
C6T9BYG5EYX5,48551891.0,160,Baylor University
QB12VPNQQFE8,67278737.0,158,University of South Alabama
RSWNKK6J8CF3,56322956.0,158,University of North Dakota Main Campus
KQ1KJG78NNS9,52973810.0,157,Smithsonian Institution
CBP3W28RNZB3,52580526.0,155,"NorthWest Research Associates, Incorporated"
NPSNT86JKN51,73049899.0,154,Oregon Health & Science University
MFPJGRD1NWE3,3702629.0,153,Materials Research Society
LT7CLFEE1ZW4,27582039.0,152,Bucknell University
JJC9GJJJL4M7,49855366.0,151,Idaho State University
Trustees of Boston University,63180622.0,151,Trustees of Boston University
W8LKB16HV1K5,92807828.0,151,Florida Agricultural and Mechanical University
C1ABLRAQTB48,64606521.0,150,California State L A University Auxiliary Services Inc.
Ohio State University Research Foundation -DO NOT USE,42724410.0,150,Ohio State University Research Foundation -DO NOT USE
GSRMP1QCXU74,68467608.0,149,International Computer Science Institute
V6WTL4T5FFJ3,55374253.0,147,Board of Trustees of Illinois State University
JVZEJJ6N5EM8,30618872.0,147,Williams College
CM4TTRKFCLF9,45882533.0,146,Montclair State University
SLT3EB6G3FA9,57432700.0,146,Bowling Green State University
L1GPHS96MUE1,38683025.0,145,University of North Carolina at Wilmington
GWCTP4CQ1E65,44905224.0,145,University of Missouri-Saint Louis
U5MMBAC9XAM5,43656209.0,142,Embry-Riddle Aeronautical University
C76JKA5JY2B3,34662167.0,142,Harvey Mudd College
CEPCN5K7EKU8,56969960.0,142,Naval Postgraduate School
MV1JFXA4S621,43618048.0,141,"Nevada System of Higher Education, Desert Research Institute"
KKGGL32KGLX3,146895745.0,141,"Bermuda Institute of Ocean Sciences (BIOS), Inc."
U9JCYEXFEEU4,93184134.0,140,Tuskegee University
Q7N8CH7NR418,91366920.0,140,Smithsonian Institution Astrophysical Observatory
KZNHNMDUTJA5,48297792.0,139,Tennessee Technological University
MBU6HCLNZ431,40751736.0,138,Wake Forest University
J9CDGR596MN3,43549541.0,137,University of Missouri-Kansas City
DZFJT2KH9C43,54931763.0,136,University of Alaska Anchorage Campus
CVNBL4GDUKF3,40679711.0,133,Loyola University of Chicago
KMH5K9V7S518,100770089.0,132,University of California-San Francisco
KSJKE3KVNBB4,63767155.0,131,Hampton University
Y3RET2XN41S5,51683909.0,130,Texas A&M University Corpus Christi
JKKNZLNYLJ19,36251707.0,130,Wichita State University
Case Western Reserve University,31998252.0,129,Case Western Reserve University
LVVEB3CF8MB8,36154382.0,129,SUNY College of Environmental Science and Forestry
KRDJLRA9X6F3,36906337.0,129,Smith College
RH87YDXC1AY5,36772166.0,128,University of Colorado at Colorado Springs
CL8JHK1LN291,29016834.0,128,University of New Orleans
P2TDH1JCJD31,42015155.0,128,California State University-Long Beach Foundation
F1NAKY5L1425,33298183.0,127,Appalachian State University
ZGKVAM2JVKG2,166163672.0,125,American Association for the Advancement of Science
Ohio State University,46403164.0,125,Ohio State University
D4P7H8NWZER7,24394794.0,123,Colgate University
LD3WUVEUK2N5,29976522.0,123,Clark University
ZFCRKN45MMD6,75810752.0,122,"Cary Institute of Ecosystem Studies, Inc."
YE8LRJWSY3K9,32332335.0,120,Santa Clara University
L63BKBLD2LH4,32319903.0,120,CUNY College of Staten Island
MNZ8KMRWTDB6,40112711.0,120,DePaul University
JJDYK36PRTL5,27495462.0,119,Central Michigan University
G8DZHNRKWTN3,34464853.0,118,Kennesaw State University Research and Service Foundation
KULSKCCZJT27,54890460.0,118,Morgan State University
LPQ1NHRK78M9,37962638.0,118,Barnard College
U9EDNSCHTBE7,46163085.0,118,University of South Dakota Main Campus
SWV9EK5S9BX5,32178384.0,118,College of Charleston
XNAKYW3FTSE1,33399708.0,118,CUNY Brooklyn College
FL4AUYLFP7E8,30225899.0,117,"Georgia Southern University Research and Service Foundation, Inc"
KU3DCFJJTVN3,51539944.0,117,Texas A&M AgriLife Research
Q3LLLDFHPNL3,124997431.0,115,University of Puerto Rico-Rio Piedras
KDRLUT71AFM5,29218479.0,114,Amherst College
Z17DSLNJ1DX1,26992632.0,114,Wellesley College
Polytechnic University of New York,25880740.0,114,Polytechnic University of New York
KALKKJL418Q7,38817441.0,113,Carleton College
PAMDY6DMVVE7,52452461.0,113,Louisiana Tech University
P23YK1EKPS51,44263877.0,113,University of Tulsa
MW8JHK6ZYEX8,48603113.0,112,University of Colorado at Denver
N63ZMY7UETA3,66966799.0,112,Tennessee State University
CBHQF44BQYN5,28091374.0,111,Field Museum of Natural History
CBF2KFBMGGZ5,14464323.0,108,"PERSONNEL MANAGEMENT, U S OFFICE OF"
FTAAW94S6LC6,51382460.0,107,Prairie View A & M University
YKGMTXA2NVL6,37350289.0,106,Cleveland State University
JE5WBLZJUME7,22458467.0,105,Bowdoin College
William Marsh Rice University,37353957.0,105,William Marsh Rice University
SESUYWJGE3Y3,29388307.0,104,Central Washington University
H4VNDUN2VWU5,49897457.0,104,American University
PUS2YBVZALZ6,21965467.0,103,Union College
Lehigh University,15863126.0,102,Lehigh University
ZY4LY6PDKLM1,21247832.0,102,Oberlin College
SUNY at Albany,16989564.0,101,SUNY at Albany
LC3SFMP2L798,33144757.0,101,Towson University
YBR2AJ9X4BK9,26008568.0,101,Hope College
XTLND4KQ2QA6,21166289.0,98,Mount Holyoke College
CJSRSPWTJUH7,38809214.0,98,California State University-Fresno Foundation
JMGMMM7BMBT6,53769748.0,98,"Cal Poly Pomona Foundation, Inc."
University Corporation For Atmospheric Res,48732529.0,98,University Corporation For Atmospheric Res
ZETJL6DKF963,29802907.0,98,Wesleyan University
FXKMA43NTV21,47281757.0,96,Baylor College of Medicine
Washington State University,28313235.0,96,Washington State University
V62NC51F7YV1,21954855.0,95,University of Dayton
M8SBQ7NVNAH4,38641368.0,95,Santa Fe Institute
CLHCSTHHSX25,1465124.0,95,Federation of Amer Societies For Exper Biology
C31ES3WEAVQ5,29468195.0,95,Catholic University of America
JM98J68UPRK1,21370677.0,93,Institute For Defense Analyses
ES69D58DJPE7,48329750.0,92,Spelman College
MVRJYL6A9VF1,86850951.0,92,Donald Danforth Plant Science Center
HQ5NMP5HLL53,23531092.0,92,Southern Illinois University at Edwardsville
N58JMBDDUGU7,69145358.0,92,"University Enterprises, Incorporated"
XAHKEJAWL1N6,60378966.0,91,Norfolk State University
JDVGS67MSLH7,50156790.0,91,Alabama A&M University
MNFCECSHS166,17112817.0,90,Macalester College
MNMJWSC5Z4H1,101176504.0,90,Institute For Advanced Study
DJ4SM8UQBHT7,35057679.0,89,Research Foundation Of The City University Of New York (Lehman)
JNZFHMGJN7M3,38488843.0,89,University of Tennessee Chattanooga
N1ACHB9PNN93,16858117.0,89,Middlebury College
K6QTMYRRT6S5,23620124.0,88,Bryn Mawr College
FZRNFQTKADH1,38032567.0,88,University of Nebraska at Omaha
E7S2Q4L89F44,30497360.0,87,New York Botanical Garden
NGYSJ2L1LZX3,24666629.0,86,Duquesne University
YY46Q97AEZA8,38325620.0,84,Rand Corporation
ULBJY4YK9ZX8,65577142.0,84,Boyce Thompson Institute Plant Research
M1LSMGM4J768,35197410.0,83,QUALITY EDUCATION FOR MINORITIES NETWORK
VMWUDBTMF4C9,34274572.0,83,Middle Tennessee State University
U4SCDG6B6NM8,20115164.0,83,Trinity University
V6S1GT51XD56,34092562.0,83,University of San Diego
RZZ8BMQ47KX3,44001399.0,81,Delaware State University
CBKYNSMGNDD5,18487281.0,81,CUNY Baruch College
GKSJF1SPLXX9,101897746.0,80,WGBH Educational Foundation
L1DXXP1KGP77,47690413.0,80,North Carolina Central University
DCQQX5TRCYN9,21059410.0,80,Occidental College
WNCAQMKJ7WZ9,80509304.0,79,WestEd
RL3YF9NM92A3,18455652.0,79,University of Richmond
Q4FMY6KZXBP1,14382517.0,79,Lafayette College
GL8EKK2U5YE9,170242685.0,79,Computing Research Association
LFDKLGTB62C4,3209577057.0,78,"Association of Universities for Research in Astronomy, Inc."
EP1ALCV8VN65,14892849.0,78,Colby College
NGK8GHNABTB8,15722788.0,78,CUNY John Jay College of Criminal Justice
EN9DMTETW3N1,17941082.0,78,Chapman University
PHZJFZ32NKH4,35255236.0,78,The Scripps Research Institute
J3XVZ8JZRJV8,22321781.0,78,Vassar College
George Mason University,12669328.0,78,George Mason University
FLJ7DQKLL226,34009498.0,76,Massachusetts General Hospital
Y2M5HUXKJPF1,17560981.0,76,Grand Valley State University
MPJFHQ7SMNH1,23801512.0,75,Rutgers University Camden
QAP9NNDEWGZ8,21121558.0,75,Haverford College
WV5SKY8MTFU1,1629193.0,74,"Institute of Electrical & Electronics Engineers, Inc."
P4NXVGAJNQK3,20667374.0,74,Franklin and Marshall College
K1S8M8RU4FK7,17674872.0,74,Humboldt State University Foundation
STFNT4KCCDU3,17319369.0,74,Eastern Michigan University
F5HBB1KH19N4,50424940.0,74,"Woodwell Climate Research Center, Inc."
NZBMKZMW68N3,645578398.0,73,"Associated Universities, Inc."
C1G1LGYJF5G5,19628971.0,72,Purdue Research Foundation
QSTAN1HJRXJ5,14664058.0,72,American Geophysical Union
KLPNCLPDAS45,2010300.0,72,American Institute of Chemical Engineers
FY85DRNMJAM4,108345074.0,72,Concord Consortium
Z9CRZKD42ZT1,27211966.0,71,University of Maryland at Baltimore
KPALJZQMJAX6,14644258.0,71,Swarthmore College
RYAQZNSJN9Q9,14256531.0,71,University of Wisconsin-Eau Claire
KZ4DBKNLP9V9,13681624.0,70,Berkeley Geochronology Center
Illinois Institute of Technology,13014773.0,69,Illinois Institute of Technology
Northeastern University,21604480.0,69,Northeastern University
F6G9C4HMNHW4,67475055.0,68,American Society For Engineering Education
ECESTN2SSVH1,22124105.0,67,Fordham University
L2V3TUBLQR27,39423542.0,67,Maricopa County Community College District
Kent State University,13552138.0,66,Kent State University
KDP6QKY6QLM1,15345813.0,66,Ball State University
D77HU977E973,18325501.0,65,Bates College
ZUFBNVZ587D4,20666639.0,65,The University of Texas Health Science Center at Houston
MPYFY5UMSDP4,95418383.0,65,National Opinion Research Center
NFLBGA5A1RB9,16587604.0,64,Academy of Natural Sciences Philadelphia
PBBNV32ZW7Q6,756438410.0,64,Incorporated Research Institutions for Seismology
JGA3E25MFDV9,65213955.0,64,Clark Atlanta University
E4UZBXLPA2V3,17102310.0,63,The College of New Jersey
C4VMQLSU1LF4,18078916.0,63,Chico State Enterprises
Q9VBQSV2CBY5,14448117.0,63,Pomona College
CE5JV8E9K4S3,31574821.0,63,American Physical Society
PLZ1BS2RC597,20692997.0,63,University of Northern Iowa
F7NHNQKGLJK4,13891959.0,63,Louisiana Universities Marine Corsortium
SR22RUJJ11H2,41766096.0,62,Hofstra University
NLULJV36KE96,31143958.0,62,University of the District of Columbia
H7CJA7NX9WN3,52912382.0,62,Southern University
DBM1C8MDJ5L3,39539075.0,62,"Teachers College, Columbia University"
VH9FNJX3Y7C7,8095047.0,61,Rose-Hulman Institute of Technology
MBD2CZMR5N48,206950221.0,61,"UNAVCO, Inc."
K54FKGWN2EN5,23028025.0,60,Winston-Salem State University
RP8CDDTJLA24,60716179.0,60,American Institute of Mathematics
N7NRRBNKM5P3,23065630.0,59,California Academy of Sciences
C3FJGE4ZRPD5,7345756.0,59,United States Naval Academy
TRMDNABWE872,23174860.0,59,Arkansas State University Main Campus
KTE2MFWTKAE5,42793102.0,59,Morehouse College
QJZ1F3UMLEJ4,63290775.0,59,University Enterprises Corporation at CSUSB
JU1FNE8FJBM3,17214467.0,58,Missouri Botanical Garden
V5LLVC627U34,18113690.0,58,East Tennessee State University
EKHKFP33NN53,34775796.0,58,California State University San Marcos Corporation
DD5KCJHVVCV7,22197781.0,58,CUNY New York City College of Technology
LZFYPNDKE3Y5,10702364.0,58,University of Wisconsin-La Crosse
CK2MCC83LSL8,4007795.0,58,Association Computing Machinery
CMNJCKH6LTK6,18734998.0,57,Reed College
TY44D55D6B65,32268969.0,57,Mathematical Association of America
M8XYTNN1REF1,13764070.0,56,Ithaca College
MEQUD34ZB1Y6,15329234.0,56,University of St. Thomas
DRC6S9KLNLH1,36267494.0,56,Fisk University
Bureau of the Census,107558447.0,56,Bureau of the Census
YNL2H7YNMFP9,6855588.0,56,The New School
GM6EL1UH2L83,98100743.0,56,Monterey Bay Aquarium Research Institute
JTFKX11JLHS8,91904893.0,55,University of The Virgin Islands
TYJEPW6N1W98,24614161.0,55,University of Northern Colorado
HGAAKCE3A7P7,27806648.0,55,Xavier University of Louisiana
QLTNY1VKHMM9,8257689.0,55,American Chemical Society (ACS)
NNLQK7LNGL93,12547728.0,55,Calvin University
DGTRD5QN3PL7,56436798.0,54,Exploratorium
MCN6J5L6M3T4,45275208.0,54,American Institutes for Research in the Behavioral Sciences
C5BNR8SHXMM4,12413351.0,54,Youngstown State University
WDA2A3VKY3A7,16159537.0,54,Saint Olaf College
DMLZJTD7WJ94,18254002.0,54,University of Southern Maine
Cornell Univ - State: AWDS MADE PRIOR MAY 2010,10128847.0,54,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
Smithsonian Institution,10655389.0,53,Smithsonian Institution
